Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,28911534.68,1720613.74,4681662.30,12808,0,11495,0,30891,0,2843,0,178,0.772309639255527,28488
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,57174244.78,1195870.78,465380.00,14877,0,4880,0,33573,0,5238,0,224,0.9349158602715713,47196
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,7683927.33,156118.14,35620.00,3182,0,2313,0,5597,0,382,0,35,0.7551286740826819,3732
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,28691855.52,16099642.71,15501492.00,15099,0,7524,0,32351,0,5017,0,114,0.940046712322541,45780
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,14211788.96,5405971.12,12261552.00,4442,0,1484,0,10436,0,2418,0,199,0.4654940491061945,41532
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,11215313.65,3339488.66,8820105.00,4415,0,1672,0,10505,0,2184,0,66,0.9588451571695552,17772
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,11945516.25,6851756.85,1880502.02,5657,0,2171,0,12503,0,1833,0,133,0.9330939492047798,18408
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,10538308.34,5461970.09,2230343.18,5219,0,2303,0,11808,0,1621,0,128,0.9315329665622138,16956
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,8364949.82,1993091.14,2099828.72,2695,0,1215,0,6485,0,906,0,111,0.9219307908981198,9120
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,59315720.09,0.00,0,19301,0,6067,0,46076,0,7767,229,0.9917503305385971,77724
