feature,importance
num__age_at_admit,0.11645721
cat__race_asian,0.09358788
num__n_medications,0.086903535
num__total_claim_cost,0.07265271
num__n_conditions,0.065517925
num__n_procedures,0.061456464
cat__marital_status_S,0.06115155
cat__marital_status_W,0.060182564
cat__ethnicity_hispanic,0.057093795
cat__gender_F,0.05485233
num__length_of_stay_days,0.053202987
num__encounters_prior_year,0.046487983
cat__marital_status_D,0.039438777
num__income,0.03752421
cat__marital_status_M,0.037117757
cat__race_black,0.03279091
cat__race_white,0.023581373
cat__race_native,0.0
cat__race_other,0.0
cat__gender_M,0.0
cat__race_hawaiian,0.0
cat__ethnicity_nonhispanic,0.0
cat__marital_status_unknown,0.0
cat__encounter_class_emergency,0.0
cat__encounter_class_inpatient,0.0
