feature,mean_abs_shap
num__age_at_admit,1.2499723
num__total_claim_cost,0.79724056
num__encounters_prior_year,0.6022382
num__income,0.45312592
num__n_conditions,0.44936118
num__n_procedures,0.38921374
num__length_of_stay_days,0.3779475
num__n_medications,0.27576244
cat__ethnicity_hispanic,0.072980486
cat__marital_status_W,0.0723423
cat__marital_status_M,0.06314496
cat__marital_status_D,0.05867205
cat__gender_F,0.048589975
cat__marital_status_S,0.026087247
cat__race_black,0.02214121
cat__race_asian,0.019267043
cat__race_white,0.01512297
cat__race_native,0.0
cat__race_other,0.0
cat__gender_M,0.0
cat__race_hawaiian,0.0
cat__ethnicity_nonhispanic,0.0
cat__marital_status_unknown,0.0
cat__encounter_class_emergency,0.0
cat__encounter_class_inpatient,0.0
